sID,ev_netsize,flood_netsize,tot_ev_units,tot_fl_units,dedicated.staffing,centralized.staffing,grantwriter_dummy,funding_external,funding_internal,med_hh_income_2019,total_pop2019.x,genrev2017.pc.dollars,pct_dem_2016
72716061,1,0,5,8,0,0,0,0,1,53863,24415,5152.897808724145,23.67182
72716063,0,2,3,1,1,1,0,0,1,57824,140937,1214.6136216891234,14.37824
72716066,0,0,5,2,1,1,0,0,1,52911,560513,1748.1021849627039,35.0983
72716074,3,3,3,2,1,1,0,1,1,56354,651319,1307.4668480422035,20.20479
72716078,2,10,4,6,1,1,1,0,1,104756,77624,2229.8644749046684,22.98494
72716085,0,0,1,2,0,0,1,0,0,72017,81456,4085.543115301513,55.67304
72716094,10,4,2,6,0,0,1,1,1,39990,28186,1325.8000425743278,38.85749
72716095,9,3,7,3,1,1,0,1,1,40640,303940,3810.1730604724617,26.32723
72716096,2,4,2,5,0,0,1,0,1,47944,26394,6446.768204895052,26.89678
72716110,1,4,2,2,1,0,0,0,1,48415,88909,1232.7435917623636,31.63544
72716119,14,7,7,5,1,1,0,1,1,140631,152703,2442.964447325855,60.60548
72716138,1,5,5,6,1,0,1,1,1,42321,188720,2126.2664264518867,41.78954
72716139,0,0,2,1,0,0,1,1,1,70667,103949,974.8049524285948,21.13265
72716144,0,2,0,2,0,0,1,0,0,51351,21760,2647.748161764706,22.64281
72716154,0,1,1,5,0,0,0,0,0,99451,24755,860.0282771157341,18.75513
72716162,5,0,2,7,1,0,1,0,0,47286,131674,1996.688792016647,21.1095
72716163,9,5,3,4,1,1,0,1,1,124863,32958,1981.7039868924085,33.43091
72716164,2,1,4,5,0,0,1,1,1,59533,84347,1054.5366165957296,32.93888
72716175,0,1,3,3,0,0,1,NA,NA,77686,58225,1665.8308286818378,32.93888
72716181,7,11,13,10,1,1,0,1,1,43307,144464,2598.15594196478,25
72716183,2,9,4,13,1,0,1,0,1,42949,32696,14772.785661854661,52.27629
72716191,2,0,4,0,0,0,0,1,1,55670,53955,624.0200166805672,21.13265
72716194,6,0,2,5,1,1,1,1,1,48677,26594,1213.6948183800857,27.04422
72716195,2,2,5,1,0,0,1,0,0,77111,36331,1828.3559494646445,21.13265
72716199,0,1,2,3,0,0,1,1,0,91022,40228,3908.073978323556,66.74261
72716203,6,1,3,3,1,1,0,0,1,45233,51227,1973.588146875671,51.46424
72716207,0,0,1,3,0,0,0,0,0,37714,24797,961.9712061942977,33.90863
72716208,3,0,3,1,1,0,0,1,1,63548,26811,926.9329752713439,52.11649
72716221,2,2,3,4,0,0,0,0,0,34956,20050,1435.71072319202,28.13565
72716225,3,1,2,2,0,0,0,0,1,75630,176753,1712.1519861049035,61.6207
72716227,0,0,1,2,1,1,0,1,1,41228,651073,1942.496463530203,17.34138
72716228,2,2,4,2,0,0,1,0,1,32193,30193,2095.618189646607,20.97418
72716235,0,0,0,7,0,0,0,0,0,78709,27087,571.7502861151106,29.94167
72716236,0,3,2,1,0,0,0,1,1,71707,79620,1015.8754081888972,26.46614
72716237,5,12,0,11,1,0,1,1,1,54701,911507,2484.2848162438686,17.63399
72716239,8,8,1,5,1,1,0,0,1,50356,36537,1355.8584448641104,37.38176
72716246,6,5,8,10,1,1,1,1,1,48626,34217,1115.790396586492,26.96657
72716247,1,0,3,3,0,0,1,1,1,50093,26273,1103.7186465192403,21.52372
72716254,1,0,5,4,0,0,0,1,1,34428,20737,1246.6123354390704,33.85587
72716260,1,1,1,1,0,0,0,0,0,97055,21148,1437.0153205976926,49.51088
72716262,1,3,5,5,1,0,1,1,1,53225,55126,4037.568479483365,64.11714
72716269,2,0,1,3,1,1,1,0,1,36406,60622,1693.0157368612056,29.98991
72716273,0,4,1,4,0,0,1,0,0,29339,20103,1534.298363428344,36.96911
72716278,11,4,4,4,1,1,0,1,1,43173,44233,1051.0252526394322,35.03407
72716280,1,1,3,6,0,0,0,1,1,47217,61448,2263.7189168077075,42.72624
72716290,11,0,4,1,1,1,0,1,1,70148,20742,6087.889306720664,27.83329
72716298,0,1,5,1,0,0,0,0,0,36890,22813,1785.1225178626223,33.13824
72716304,2,1,8,5,1,0,1,0,1,50211,27755,2801.5852999459557,24.27449
72716312,4,2,2,1,0,0,1,1,1,50397,26931,1507.9276670008542,37.72141
72716314,1,2,4,4,1,0,0,1,1,82062,39203,852.4857791495549,23.85849
72716316,9,5,1,3,1,1,0,0,1,50493,52975,2516.432279377065,47.54018
72716321,2,1,1,1,0,0,0,0,0,80392,54909,1529.6945855870622,21.09177
72716334,0,1,5,0,1,1,1,1,1,77360,133759,1160.437802316106,38.02327
72716342,4,2,2,3,1,1,0,0,1,58748,75038,2116.660891814814,34.88953
72716343,2,2,1,8,1,0,0,0,1,73739,46051,1196.2389524657444,28.99729
72716345,0,5,1,3,1,1,1,1,1,147620,52677,2592.5546253583157,47.92105
72716348,2,3,5,3,0,0,1,0,1,51377,45202,1515.4860404406884,38.02327
72716349,1,5,6,7,0,0,1,1,1,75101,43718,528.8210805617823,35.18393
72716351,0,0,2,3,1,0,1,1,0,68924,23544,628.3554196398234,44.39832
72716356,0,10,5,5,1,1,0,1,1,83923,21927,6502.303096638847,48.05614
72716365,1,1,2,4,0,0,0,0,0,66686,26956,1456.2991541771778,25.27499
72716375,6,4,5,4,1,1,0,1,1,101738,28846,1107.328572419053,61.2154
72716379,10,7,7,2,1,1,1,0,1,64712,478221,1237.710180021371,19.61447
72716380,1,7,3,5,1,0,1,1,0,66194,47382,2916.255117977291,25.17256
72716383,2,6,3,2,0,0,0,1,1,122998,20222,1895.1636831173969,21.13265
72716388,0,0,5,3,0,0,1,1,1,57206,24295,1923.8526445770733,33.94814
72716392,2,2,2,6,1,1,1,1,1,64416,24443,1293.294603772041,23.85849
72716398,0,3,2,2,0,0,1,1,0,104504,122460,1321.5662257063532,25.54188
72716400,4,4,4,3,1,1,0,0,1,64493,109212,1159.0759257224481,17.53617
72716404,1,1,2,1,1,1,0,0,1,87578,39829,1392.653594114841,40.39108
72716412,0,0,2,5,0,0,0,1,1,67862,41204,3685.6130472769632,64.11714
72716426,5,2,5,3,0,0,0,0,1,73046,62700,1834.3381180223287,33.43091
72716428,5,0,5,1,1,1,0,1,1,38311,126913,1793.307226210081,22.51903
72716430,3,5,1,2,1,1,0,1,1,58790,255601,1601.4217471762631,29.39797
72716432,0,2,2,3,0,0,0,0,0,55350,21804,2067.1436433681893,35.18393
72716441,2,0,4,1,0,0,0,1,1,66300,38819,1076.715010690641,34.39429
72716446,2,13,1,10,1,0,0,1,1,79329,146038,1376.2924718224024,17.82407
72716456,1,6,4,9,0,0,1,0,1,84254,22476,1177.7451503826303,21.74368
72716460,15,15,9,5,1,1,1,0,1,44323,84948,1432.4174789282856,37.38176
72716462,0,0,0,3,0,0,0,0,0,76577,32100,1362.8660436137072,22.51944
72716466,1,0,1,1,0,0,0,1,0,62541,39899,1072.6083360485225,21.13265
72716472,0,0,2,2,0,0,0,0,1,111642,36950,1443.1393775372126,33.43091
72716474,6,1,5,5,1,1,1,0,1,100843,49700,3478.5915492957747,35.18393
72716475,3,1,3,4,1,0,0,0,1,123548,35366,1597.7492506927558,24.53861
72716478,4,2,4,1,1,0,0,1,1,80627,48662,1251.9214171221897,31.81687
72716482,5,1,3,3,1,1,1,1,1,97265,20725,812.3522316043426,45.33112
72716486,2,5,1,3,1,1,0,1,1,31936,74879,1670.294742184057,21.74368
72716492,5,0,3,1,1,0,0,0,0,137377,28357,1109.9199492188877,25.68713
72716509,3,2,1,6,1,1,0,1,0,37752,272779,1832.3844577478471,47.62952
72716514,0,1,4,4,0,0,1,1,1,44633,45504,3034.7881504922643,23.17653
72716524,0,1,3,3,1,1,1,0,1,75566,25752,1253.7278657968313,38.88746
72716525,3,6,2,5,1,0,0,0,1,56971,22786,2338.5412095146144,43.8513
72716527,0,1,7,2,1,0,1,0,1,37264,133997,1561.8110853228059,90.86382
72716528,0,1,3,1,1,0,0,0,1,156400,81777,2092.2019638773736,22.98494
72716530,2,3,3,2,0,0,1,0,1,66679,32163,636.0103224201723,74.72482
72716532,1,1,2,2,1,1,0,0,1,78613,109452,1070.2042904652267,14.62009
72716535,0,0,3,2,0,0,1,0,0,55230,29156,5127.8639045136515,46.02347
72716538,7,10,6,5,1,1,1,0,1,78003,88815,1769.1943928390474,22.98494
72716540,3,2,3,3,1,1,1,0,1,82275,109128,1712.0079173081153,39.96155
72716548,0,5,2,9,0,0,1,1,0,52253,42708,1479.2778870469233,25.19592
72716567,2,2,1,1,0,0,0,0,1,105154,21175,945.4073199527745,71.94019
72716570,0,1,3,3,0,0,0,1,0,62276,87796,611.3262563214726,49.73376
72716572,11,9,4,3,1,1,0,0,1,61902,20990,1457.932348737494,59.87939
72716575,0,6,5,3,1,0,0,0,1,90349,29583,1439.2049487881552,50.47036
72716578,0,0,3,2,0,0,1,0,1,63575,33748,972.3835486547351,52.55876
72716583,0,0,4,5,0,0,1,0,1,44757,21777,617.1189787390366,57.11093
72716585,0,7,7,2,1,0,0,0,1,52284,33235,867.6997141567625,14.74146
72716590,0,0,3,2,1,1,1,0,1,73119,110198,1058.6036044211328,24.27938
72716593,1,2,2,3,0,0,1,1,1,72312,24918,2311.862910345935,59.87939
72716612,3,4,4,7,0,0,1,0,1,46117,32711,1658.341230778637,40.38687
72716615,0,6,5,4,1,1,1,0,1,46189,39949,1185.4113995344064,17.41863
72716625,0,0,2,1,0,0,0,0,0,62676,24887,1401.4143930566158,41.21733
72716634,2,2,7,6,1,0,1,0,1,92604,55554,1170.3207689815315,40.09333
72716635,0,0,1,1,0,0,0,0,1,40863,20117,965.1538499776309,22.64768
72716640,3,4,2,4,0,0,1,1,0,59180,52549,757.6928200346343,49.87177
72716642,5,7,3,3,1,1,0,0,1,83114,99805,2542.9487500626224,60.95174
72716644,0,4,10,10,1,1,1,1,1,104669,170282,1460.4479627911346,61.2154
72716646,5,4,3,8,1,1,1,1,1,60018,141541,1499.7703845528858,17.53617
72716648,0,1,0,3,0,0,0,0,0,48626,25133,285.48123980424145,24.45916
72716650,1,0,1,4,0,0,0,0,0,43977,20995,2397.618480590617,39.51901
72716659,1,2,4,4,1,0,0,1,0,63172,34044,4312.977323463752,59.08682
72716660,1,2,1,2,1,0,1,1,1,77493,65741,1103.3449445551482,35.18393
72716664,1,1,5,2,0,0,0,1,1,90730,27807,1002.4094652425648,25.27499
72716667,1,5,4,3,0,0,0,0,0,60759,111475,2051.069746579951,54.13256
72716673,1,0,3,5,1,1,0,1,1,85636,39223,2476.659103077276,25.68996
72716681,0,0,1,1,1,0,0,0,1,44404,22344,1270.5871822413176,21.20247
72716683,13,6,8,6,1,1,0,1,1,57994,195805,2004.7189806184726,26.46614
72716685,6,4,7,8,1,1,1,1,1,87235,27027,2447.4414474414475,24.04221
72716686,1,0,0,2,1,0,1,1,0,47563,33273,906.4406575902383,22.41392
72716688,0,1,3,2,1,1,1,0,1,53365,50841,962.1565272122892,28.90802
72716691,4,5,2,6,1,1,0,1,1,60467,66215,4887.789775730575,38.14001
72716693,0,0,2,3,0,0,0,1,1,89229,42605,1582.0678324140358,54.13256
72716697,0,0,0,1,0,0,1,1,1,43437,40341,1826.3305322128851,13.05892
72716699,0,3,4,3,1,1,1,0,1,78306,139248,1125.157991497185,14.37824
72716700,2,1,2,3,0,0,0,0,0,77065,60336,1680.1080615221426,34.39429
72716708,2,1,1,1,0,0,1,0,0,62602,30917,1941.65022479542,40.31116
72716715,1,4,0,4,0,0,0,0,0,42813,25953,1385.080722845143,38.88746
72716717,0,11,1,6,1,0,1,1,1,53971,88885,6364.954716768859,35.18393
72716718,1,1,3,1,0,0,0,0,1,109387,42807,1865.6060924615133,49.70557
72716719,1,0,2,1,0,0,0,1,0,47119,61394,1508.958530149526,52.11649
72716722,1,2,1,5,0,0,0,0,0,66311,59805,391.5558899757545,9.377818
72716728,0,3,1,1,0,0,1,0,0,75329,48263,1216.4183743240162,28.99729
72716730,2,1,9,2,1,1,1,0,1,62973,61248,1240.971133751306,38.02327
72716733,0,0,0,1,0,0,0,0,0,32403,34000,1668.235294117647,49.4422
72716751,2,0,4,6,0,0,1,0,1,53148,62888,1387.4189034473984,27.78494
72716753,2,1,7,5,1,1,0,0,1,60675,20907,1018.8931936671928,31.81687
72716759,12,3,6,5,1,1,0,0,1,59912,183793,1591.6329784050536,26.40977
72716768,1,2,4,3,1,1,0,0,1,53707,26118,753.2736044107512,10.01879
72716770,4,5,4,3,0,0,1,1,1,48459,30908,2425.262068072991,35.86694
72716774,1,2,4,4,1,1,1,1,1,103232,91684,1592.5570437589981,47.33077
72716775,2,7,6,5,0,0,0,0,1,105958,79768,1181.8899809447398,31.81687
72716787,0,1,2,3,1,0,1,0,1,38443,36716,2000.326832988343,38.22501
72716796,0,3,1,12,1,1,1,1,1,68438,137566,1910.3993719378334,47.33077
72716802,10,0,8,9,1,1,0,0,1,71576,978908,1991.7224090517188,23.83898
72716803,0,0,1,3,1,0,1,1,1,66522,28451,3783.2062141928227,55.43111
72716810,8,7,10,4,1,1,0,1,1,73614,64051,NA,30.65372
72716811,0,2,0,1,0,0,0,0,0,44554,36321,1038.8480493378486,68.13255
72716814,2,5,3,3,1,1,1,1,1,39432,153606,4784.682889991276,64.11714
72716815,1,0,2,3,0,0,0,1,0,45080,36317,1357.518517498692,16.30518
72716818,0,0,0,1,0,0,0,0,0,60260,32118,1084.6254436764432,16.24473
72716820,1,0,2,2,0,0,0,0,1,81493,41085,5336.205427771693,54.65577
72716823,4,4,11,9,1,0,1,1,1,47511,112136,2051.4286223871013,47.46133
72716825,0,0,2,2,0,0,0,0,0,99188,51593,1036.0514023220205,38.44934
72716828,1,5,5,5,1,0,0,1,1,40211,26208,2090.1251526251526,29.91503
72716833,6,8,4,7,1,1,1,1,1,53525,214237,2160.280437086031,24.91591
72716838,14,8,3,6,1,1,0,0,1,49075,75130,1976.0015972314654,45.48798
72716839,2,3,1,4,1,0,1,0,1,48137,46212,2411.494849822557,18.96014
72716845,0,1,0,3,0,0,0,0,0,40662,39642,1550.1236062761716,33.0308
72716848,3,0,3,2,1,0,0,0,1,74044,36475,3889.431117203564,21.13265
72716862,6,3,7,1,1,0,0,0,1,65866,170243,1955.9629470815248,49.83949
72716865,3,0,1,1,1,1,1,0,1,109378,126813,1197.0697010558856,35.73583
72716876,1,5,4,1,1,1,1,1,1,82305,91394,1825.5027682342386,21.13265
72716878,2,3,2,3,1,0,0,0,1,46374,71721,1713.2081259324325,25.14193
72716882,1,0,1,1,1,1,0,0,1,96057,49356,770.7067023259584,40.09333
72716883,3,0,2,2,1,1,0,1,1,74464,48158,1362.0582250093444,14.37824
72716890,3,0,1,1,0,0,1,0,0,32839,27817,2999.1731674875077,21.74368
72716891,3,3,2,1,1,1,0,1,1,106088,25696,1410.7643212951432,40.09333
72716895,0,1,2,4,0,0,0,0,1,43094,29615,976.498396083066,45.33112
72716897,0,3,1,1,0,0,0,0,0,33699,23403,795.3253856343205,34.61669
72716900,0,0,2,4,0,0,1,1,1,98020,60896,1156.0036784025224,27.43816
72716913,0,3,2,2,0,0,0,0,1,40178,117979,1805.0839556192204,21.72592
72716928,3,3,7,4,1,0,1,1,1,48734,36843,1947.289851532177,23.63064
72716948,13,5,3,3,1,1,0,1,1,45750,247945,1307.128597067898,65.19328
72716950,3,0,3,1,1,0,1,1,1,66057,53447,1078.7696222425955,28.99729
72716954,0,0,2,2,0,0,1,1,1,57586,108649,1465.0848144023414,10.83059
72716956,0,3,9,8,0,0,0,1,1,37092,23671,2034.8105276498673,15.27123
